name	barcode	brand	category	mrp
product 1	barcode1	brand1	category1	1
product 2	barcode2	brand2	category2	2
product 3	barcode3	brand3	category3	3
product 4	barcode4	brand4	category4	4
product 5	barcode5	brand5	category5	5
product 6	barcode6	brand6	category6	6
product 7	barcode7	brand7	category7	7
product 8	barcode8	brand8	category8	8
product 9	barcode9	brand9	category9	9
product 10	barcode10	brand10	category10	10
product 11	barcode11	brand11	category11	11
product 12	barcode12	brand12	category12	12
product 13	barcode13	brand13	category13	13
product 14	barcode14	brand14	category14	14
product 15	barcode15	brand15	category15	15
product 16	barcode16	brand16	category16	16
product 17	barcode17	brand17	category17	17
product 18	barcode18	brand18	category18	18
product 19	barcode19	brand19	category19	19
product 20	barcode20	brand20	category20	20
product 21	barcode21	brand21	category21	21
product 22	barcode22	brand22	category22	22
product 23	barcode23	brand23	category23	23
product 24	barcode24	brand24	category24	24
product 25	barcode25	brand25	category25	25
product 26	barcode26	brand26	category26	26
product 27	barcode27	brand27	category27	27
product 28	barcode28	brand28	category28	28
product 29	barcode29	brand29	category29	29
product 30	barcode30	brand30	category30	30
product 31	barcode31	brand31	category31	31
product 32	barcode32	brand32	category32	32
product 33	barcode33	brand33	category33	33
product 34	barcode34	brand34	category34	34
product 35	barcode35	brand35	category35	35
product 36	barcode36	brand36	category36	36
product 37	barcode37	brand37	category37	37
product 38	barcode38	brand38	category38	38
product 39	barcode39	brand39	category39	39
product 40	barcode40	brand40	category40	40
product 41	barcode41	brand41	category41	41
product 42	barcode42	brand42	category42	42
product 43	barcode43	brand43	category43	43
product 44	barcode44	brand44	category44	44
product 45	barcode45	brand45	category45	45
product 46	barcode46	brand46	category46	46
product 47	barcode47	brand47	category47	47
product 48	barcode48	brand48	category48	48
product 49	barcode49	brand49	category49	49
product 50	barcode50	brand50	category50	50
product 51	barcode51	brand51	category51	51
product 52	barcode52	brand52	category52	52
product 53	barcode53	brand53	category53	53
product 54	barcode54	brand54	category54	54
product 55	barcode55	brand55	category55	55
product 56	barcode56	brand56	category56	56
product 57	barcode57	brand57	category57	57
product 58	barcode58	brand58	category58	58
product 59	barcode59	brand59	category59	59
product 60	barcode60	brand60	category60	60
product 61	barcode61	brand61	category61	61
product 62	barcode62	brand62	category62	62
product 63	barcode63	brand63	category63	63
product 64	barcode64	brand64	category64	64
product 65	barcode65	brand65	category65	65
product 66	barcode66	brand66	category66	66
product 67	barcode67	brand67	category67	67
product 68	barcode68	brand68	category68	68
product 69	barcode69	brand69	category69	69
product 70	barcode70	brand70	category70	70
product 71	barcode71	brand71	category71	71
product 72	barcode72	brand72	category72	72
product 73	barcode73	brand73	category73	73
product 74	barcode74	brand74	category74	74
product 75	barcode75	brand75	category75	75
product 76	barcode76	brand76	category76	76
product 77	barcode77	brand77	category77	77
product 78	barcode78	brand78	category78	78
product 79	barcode79	brand79	category79	79
product 80	barcode80	brand80	category80	80
product 81	barcode81	brand81	category81	81
product 82	barcode82	brand82	category82	82
product 83	barcode83	brand83	category83	83
product 84	barcode84	brand84	category84	84
product 85	barcode85	brand85	category85	85
product 86	barcode86	brand86	category86	86
product 87	barcode87	brand87	category87	87
product 88	barcode88	brand88	category88	88
product 89	barcode89	brand89	category89	89
product 90	barcode90	brand90	category90	90
product 91	barcode91	brand91	category91	91
product 92	barcode92	brand92	category92	92
product 93	barcode93	brand93	category93	93
product 94	barcode94	brand94	category94	94
product 95	barcode95	brand95	category95	95
product 96	barcode96	brand96	category96	96
product 97	barcode97	brand97	category97	97
product 98	barcode98	brand98	category98	98
product 99	barcode99	brand99	category99	99
product 100	barcode100	brand100	category100	100
product 101	barcode101	brand101	category101	101
product 102	barcode102	brand102	category102	102
product 103	barcode103	brand103	category103	103
product 104	barcode104	brand104	category104	104
product 105	barcode105	brand105	category105	105
product 106	barcode106	brand106	category106	106
product 107	barcode107	brand107	category107	107
product 108	barcode108	brand108	category108	108
product 109	barcode109	brand109	category109	109
product 110	barcode110	brand110	category110	110
product 111	barcode111	brand111	category111	111
product 112	barcode112	brand112	category112	112
product 113	barcode113	brand113	category113	113
product 114	barcode114	brand114	category114	114
product 115	barcode115	brand115	category115	115
product 116	barcode116	brand116	category116	116
product 117	barcode117	brand117	category117	117
product 118	barcode118	brand118	category118	118
product 119	barcode119	brand119	category119	119
product 120	barcode120	brand120	category120	120
product 121	barcode121	brand121	category121	121
product 122	barcode122	brand122	category122	122
product 123	barcode123	brand123	category123	123
product 124	barcode124	brand124	category124	124
product 125	barcode125	brand125	category125	125
product 126	barcode126	brand126	category126	126
product 127	barcode127	brand127	category127	127
product 128	barcode128	brand128	category128	128
product 129	barcode129	brand129	category129	129
product 130	barcode130	brand130	category130	130
product 131	barcode131	brand131	category131	131
product 132	barcode132	brand132	category132	132
product 133	barcode133	brand133	category133	133
product 134	barcode134	brand134	category134	134
product 135	barcode135	brand135	category135	135
product 136	barcode136	brand136	category136	136
product 137	barcode137	brand137	category137	137
product 138	barcode138	brand138	category138	138
product 139	barcode139	brand139	category139	139
product 140	barcode140	brand140	category140	140
product 141	barcode141	brand141	category141	141
product 142	barcode142	brand142	category142	142
product 143	barcode143	brand143	category143	143
product 144	barcode144	brand144	category144	144
product 145	barcode145	brand145	category145	145
product 146	barcode146	brand146	category146	146
